src,dst,type,meta_json
function:cgm.callgraph.CallGraphExtractor.extract_calls,function:cgm.callgraph.CallVisitor,call_intra,{}
function:cgm.callgraph.CallGraphExtractor.extract_calls,function:cgm.callgraph.visit,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.append,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.generic_visit,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.isinstance,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.isinstance,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.isinstance,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_Call,function:cgm.callgraph.isinstance,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_ClassDef,function:cgm.callgraph.append,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_ClassDef,function:cgm.callgraph.generic_visit,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_ClassDef,function:cgm.callgraph.isinstance,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_ClassDef,function:cgm.callgraph.pop,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_FunctionDef,function:cgm.callgraph.append,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_FunctionDef,function:cgm.callgraph.generic_visit,call_intra,{}
function:cgm.callgraph.CallVisitor.visit_FunctionDef,function:cgm.callgraph.pop,call_intra,{}
function:cgm.cli.main,function:cgm.cli.ArgumentParser,call_intra,{}
function:cgm.cli.main,function:cgm.cli.CGMParams,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.add_argument,call_intra,{}
function:cgm.cli.main,function:cgm.cli.exit,call_intra,{}
function:cgm.cli.main,function:cgm.cli.items,call_intra,{}
function:cgm.cli.main,function:cgm.cli.len,call_intra,{}
function:cgm.cli.main,function:cgm.cli.parse_args,call_intra,{}
function:cgm.cli.main,function:cgm.cli.print,call_intra,{}
