Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-09-26T02:21:30.238Z","Included","auto","No","406","88022","90926","327","179681","0.14"
"2025-09-26T02:20:31.131Z","Included","auto","No","386","87575","90541","279","178781","0.13"
"2025-09-26T02:19:58.226Z","Included","auto","No","483","87141","90059","287","177970","0.13"
"2025-09-26T02:17:38.540Z","Included","auto","No","548","86601","89512","400","177061","0.13"
"2025-09-26T02:17:17.448Z","Included","auto","No","572","86013","88941","461","175987","0.13"
"2025-09-26T02:16:34.324Z","Included","auto","No","517","85399","88425","475","174816","0.13"
"2025-09-26T02:15:35.436Z","Included","auto","No","44873","36988","1096148","1057","1179066","0.38"
"2025-09-26T02:15:03.816Z","Included","auto","No","50802","103932","863759","723","1019216","0.41"
"2025-09-26T02:14:48.026Z","Included","auto","No","16649","85379","168881","393","271302","0.17"
"2025-09-26T02:13:22.021Z","Included","auto","No","15493","67427","137856","391","221167","0.14"
"2025-09-26T02:11:57.036Z","Included","auto","No","444","66986","68282","323","136035","0.10"
"2025-09-26T02:10:59.035Z","Included","auto","No","360","66518","67923","353","135154","0.10"
"2025-09-26T02:10:43.187Z","Included","auto","No","394","66119","67530","275","134318","0.10"
"2025-09-26T02:10:26.841Z","Included","auto","No","375","65704","67156","304","133539","0.10"
"2025-09-26T02:10:03.391Z","Included","auto","No","339","65306","66818","289","132752","0.10"
"2025-09-26T02:08:31.218Z","Included","auto","No","55715","221720","11104","9509","298048","0.41"
"2025-09-26T02:08:08.286Z","Included","auto","No","514","82744","108779","102","192139","0.13"
"2025-09-26T02:07:43.424Z","Included","auto","No","487","82191","108293","411","191382","0.13"
"2025-09-26T02:05:48.275Z","Included","auto","No","498","81668","107796","401","190363","0.13"
"2025-09-26T01:57:00.856Z","Included","auto","No","3545","78131","529142","1366","612184","0.24"
"2025-09-26T01:55:20.049Z","Included","auto","No","4209","74940","922473","2204","1003826","0.34"
"2025-09-26T01:54:26.671Z","Included","auto","No","2879","71400","590326","1298","665903","0.25"
"2025-09-26T01:53:06.011Z","Included","auto","No","90463","69167","388691","1780","550101","0.31"
"2025-09-26T01:51:53.189Z","Included","auto","No","2266","67414","463065","1223","533968","0.21"
"2025-09-26T01:51:01.353Z","Included","auto","No","1970","66144","271481","972","340567","0.16"
"2025-09-26T01:50:03.042Z","Included","auto","No","3176","63554","528192","1666","596588","0.23"
"2025-09-26T01:48:08.459Z","Included","auto","No","3281","60973","594856","1938","661048","0.24"
"2025-09-26T01:46:32.489Z","Errored, Not Charged","auto","No","5861","56141","319107","1177","382286","0.16"
"2025-09-26T01:42:14.794Z","Included","auto","No","6104","50746","907461","2754","967065","0.31"
"2025-09-26T01:40:11.586Z","Included","auto","No","10625","41300","1551270","3414","1606609","0.47"
"2025-09-26T01:36:39.914Z","Included","auto","No","36660","25460","508699","5786","576605","0.24"
"2025-09-26T01:32:58.978Z","Included","auto","No","31814","254075","586590","9719","882198","0.56"
"2025-09-26T01:22:30.374Z","Included","auto","No","116265","124721","795617","7157","1043760","0.54"
"2025-09-26T01:21:01.516Z","Included","auto","No","4802","119383","944625","1394","1070204","0.40"
"2025-09-26T01:19:56.274Z","Included","auto","No","836","118451","102321","728","222336","0.18"
"2025-09-26T01:17:34.193Z","Included","auto","No","2021","116515","608555","1223","728314","0.31"
"2025-09-26T01:14:33.776Z","Included","auto","No","31105","101252","2180102","2272","2314731","0.72"
"2025-09-26T01:09:22.910Z","Included","auto","No","125901","61541","3451855","6025","3645322","1.13"
"2025-09-26T01:05:07.152Z","Included","auto","No","59853","45569","690862","1419","797703","0.31"
"2025-09-26T00:58:49.196Z","Included","auto","No","69947","84874","590478","1024","746323","0.35"
"2025-09-26T00:55:05.438Z","Included","auto","No","79988","0","482419","1318","563725","0.23"
"2025-09-26T00:54:48.259Z","Included","auto","No","332","57628","64293","128","122381","0.09"
"2025-09-26T00:54:25.427Z","Included","auto","No","408","57239","63886","202","121735","0.09"
"2025-09-26T00:53:50.156Z","Included","auto","No","465","56775","63422","266","120928","0.09"
"2025-09-26T00:52:39.914Z","Included","auto","No","35416","40878","278727","470","355491","0.17"
"2025-09-26T00:50:01.239Z","Included","auto","No","73969","203777","701674","9085","988505","0.58"
"2025-09-26T00:49:03.277Z","Included","auto","No","7825","97315","213882","214","319236","0.19"
"2025-09-26T00:47:57.234Z","Included","auto","No","12562","82688","679028","1604","775882","0.30"
"2025-09-26T00:43:27.206Z","Included","auto","No","283","82304","93788","183","176558","0.13"
"2025-09-26T00:40:29.457Z","Included","auto","No","276","81974","93513","143","175906","0.13"
"2025-09-26T00:40:19.055Z","Included","auto","No","597","81653","92917","149","175316","0.13"
"2025-09-26T00:39:49.700Z","Included","auto","No","3488","78296","454255","1160","537199","0.22"
"2025-09-26T00:39:35.904Z","Included","auto","No","308","77979","178532","130","256949","0.14"
"2025-09-26T00:38:38.956Z","Included","auto","No","1423","76996","264324","754","343497","0.17"
"2025-09-26T00:38:21.522Z","Included","auto","No","269","76718","87440","101","164528","0.12"
"2025-09-26T00:37:15.864Z","Errored, Not Charged","auto","No","0","76421","0","591","77012","0.10"
"2025-09-26T00:36:48.366Z","Errored, Not Charged","auto","No","0","69337","0","8","69345","0.09"
"2025-09-26T00:36:14.815Z","Included","auto","No","2360","69017","158735","2043","232155","0.14"
"2025-09-26T00:35:55.484Z","Included","auto","No","279","0","78940","160","79379","0.02"
"2025-09-26T00:35:36.508Z","Included","auto","No","197","68338","78744","140","147419","0.11"
"2025-09-26T00:35:13.482Z","Included","auto","No","444","68039","156986","91","225560","0.13"
"2025-09-26T00:34:42.278Z","Included","auto","No","1075","66648","154716","313","222752","0.13"
"2025-09-26T00:34:05.017Z","Included","auto","No","1331","65674","152437","175","219617","0.12"
"2025-09-26T00:33:33.790Z","Included","auto","No","3555","61378","145027","252","210212","0.12"
"2025-09-26T00:31:48.220Z","Included","auto","No","7431","53237","130054","270","190992","0.11"
"2025-09-26T00:31:28.493Z","Included","auto","No","1447","52167","191896","250","245760","0.12"
"2025-09-26T00:30:13.035Z","Included","auto","No","7744","48968","365291","1127","423130","0.17"
"2025-09-26T00:29:00.793Z","Included","auto","No","7248","41300","325486","2049","376083","0.15"
"2025-09-26T00:28:35.050Z","Included","auto","No","656","40930","51820","218","93624","0.07"
"2025-09-26T00:23:41.404Z","Included","auto","No","205","40207","51616","118","92146","0.06"
